Customer Account Name,Opportunities Opportunity Created Date,Accounts Salesforce Account ID,Opportunity Key Dates Current Stage,Accounts Is Churned? (Yes / No),Customer Account Toast Guid,Opportunities Total Software ARR,Opportunity Line Item Hardware Value
The Wild Sunflower,2023-02-27,0014W000037WtQEQA0,16. Closed - Onboarded,No,f660fe56-e033-4c13-b7f9-bdd2e0633912,0,0
Lunch Lady,2023-02-26,0014W000037WrvgQAC,13. Booked - Need Info to Onboard,No,91c6a941-6012-4e60-b9ac-af80b982ef8e,0,0
Harmon Grounds Cafe,2023-02-26,0014W000037WrgMQAS,16. Closed - Onboarded,No,a2564ef5-b88b-40b1-a930-bc1f082171bd,0,0
Farandula Corn & Potatos,2023-02-26,0014W000037Ws2hQAC,13. Booked - Need Info to Onboard,Yes,c14a32d1-068f-4b53-92a9-063ed13c03e4,900,517.99
Angel Cakes Creamery,2023-02-25,0014W000037Wlh4QAC,18. Live,No,1202f031-69e3-4e80-8a26-aae4f41b7fb5,0,310.81
Tasteeee Daves,2023-02-25,0014W000037Wrc5QAC,16. Closed - Onboarded,No,4b65130f-49fa-4b40-ba3f-d02ea41c5814,0,0
Fatbro BBQ,2023-02-25,0014W000037WrIiQAK,16. Closed - Onboarded,No,4c4986a5-5f0c-4024-a9b7-f251f28902df,0,318
Benton County Elks Lodge 2783,2023-02-25,0014W000037WrIFQA0,18. Live,No,ebc3e40c-f4f8-4d34-a2fc-0c6d093ce6d1,0,0
La Mexicana Authentic Food,2023-02-25,0014W000037WreaQAC,18. Live,No,52954502-b838-4a3c-95f0-985710d5916e,660,708
MCD & Associates  DBA ( Chip & Dip BBQ),2023-02-25,0014W000037Wrc0QAC,13. Booked - Need Info to Onboard,No,db146ba3-9457-49aa-867d-92f65adf685a,0,0
Head cabbage mobile grill,2023-02-25,0014W000037WrQaQAK,17. Closed - On hold by Billing,No,58cd262e-8685-45be-bbae-e3747864d225,0,0
Hot Flash Eats,2023-02-25,0014W000037WrfsQAC,16. Closed - Onboarded,No,4db45732-49aa-43b9-ac80-588fc27b3363,300,610.21
JoyGrab,2023-02-25,0014W000037WrfxQAC,18. Live,No,0ddce9a4-2a8e-473d-a24a-59978586e069,1128,299.4
Rogers Market,2023-02-25,0014W000037WrcKQAS,18. Live,No,eb32b5f1-aa97-4fd0-b51a-907430633ed2,2628,2159
Atascadero Moose Lpodge 2067,2023-02-24,0014W000037WqzeQAC,18. Live,No,7125bcbf-8696-4c83-9a5d-58d9b2264c05,0,318
Pho Life,2023-02-24,0014W000037WqXGQA0,18. Live,No,410360b1-a3e3-4adc-8e2a-adc951f38e10,0,119.4
Christina A Mejias,2023-02-24,0014W000037WpfWQAS,13. Booked - Need Info to Onboard,No,5fcf569a-7fc4-449c-b35b-7eed1bc2890a,0,0
Klink,2023-02-24,0014W000037WqoWQAS,18. Live,No,62939e04-8264-4964-a30b-e84fe86c5b2e,0,621.6
Daly’s Donuts,2023-02-24,0014W000037WqyRQAS,18. Live,No,4c5abf2d-1b53-4b9b-b3cd-a4f0f75901f9,0,0
Chickboba,2023-02-24,0014W000037Wqz5QAC,18. Live,No,fba8fc4d-6448-447c-95da-3234c63ff513,1080,1098
Rockys Bar,2023-02-24,0014W000037WqtcQAC,18. Live,No,b02f108a-51df-4ed9-98db-4c943bdeac64,0,866.4
Straight the porch,2023-02-24,0014W000037Wqh6QAC,13. Booked - Need Info to Onboard,No,b8bec083-f3f9-4693-b455-ec5c755ab856,0,190.8
Lowery's Fish and Wings,2023-02-24,0014W000037WoghQAC,13. Booked - Need Info to Onboard,No,bc400275-9226-4953-9f06-4c2813f90575,0,0
Symphony Mediterranean Grill,2023-02-24,0014W000037WrDxQAK,18. Live,No,6fb03350-44f4-4947-9287-b81c5caf7e65,0,310.81
CityScapes,2023-02-24,0014W000037Wq6cQAC,13. Booked - Need Info to Onboard,No,b19db57f-31bc-4bd6-8dac-97411fdd9825,0,125.4
Sage Sushi Lounge,2023-02-24,0014W000037Wr2xQAC,18. Live,No,fe51398c-d2b8-4dbf-82d0-4ddf8e78f664,1428,1166.4
Thai-it Yourself,2023-02-24,0014W000037WqpeQAC,13. Booked - Need Info to Onboard,No,8d8fad4c-55bf-4af2-8328-a64fbdac9831,0,0
"IZAAN,S HALAL FOOD",2023-02-24,0014W000037Wr08QAC,13. Booked - Need Info to Onboard,No,6bde9ce2-2179-4014-b855-87d654d71108,900,328
Sunshine Breakfast LLC,2023-02-24,0014W000037WpXLQA0,18. Live,No,0fa860a7-1991-43ba-8ef5-0a3812099231,828,479.4
Rockys Grill,2023-02-24,0014W000037WqWSQA0,13. Booked - Need Info to Onboard,No,5536ae1c-0101-47a6-8e47-a9e4fc2d96b4,300,419.41
The Wayward Onion,2023-02-24,0014W000037WrEqQAK,18. Live,No,a4932fa2-7918-48d7-aa13-a79034ebe553,0,0
Eddy Out Cafe,2023-02-24,0014W000037WrF5QAK,13. Booked - Need Info to Onboard,No,4bb14245-c4a5-4894-97cc-6f63c0c69696,0,0
sausfries llc,2023-02-24,0014W000037WpX6QAK,18. Live,No,232272d3-8a7f-4180-b430-cef8e62947b2,300,1016.99
Fuego,2023-02-24,0014W000037WqiJQAS,18. Live,No,3488bc67-17ab-48be-bd68-c3cdcfa15b72,0,328
Boba Tea Hive,2023-02-24,0014W000037WqTYQA0,18. Live,No,008ca5c7-4fc5-46be-8a2d-f0e781ae0b43,900,316.2
Cecelia's Wood Fired Pizza,2023-02-24,0014W000037WqKoQAK,16. Closed - Onboarded,No,ee3550ce-958d-489e-9516-9212ef70e3d5,0,310.81
Akita Ramen,2023-02-24,0014W000037WpdTQAS,18. Live,No,1bdbed63-bbbf-44f9-9e3a-3e09b99c8006,720,316.2
M and M kitchen,2023-02-23,0014W000037WogrQAC,18. Live,No,67472eae-c522-45b6-ab96-af3a6dc845c8,0,119.4
The Last Drop Tavern,2023-02-23,0014W000037WoijQAC,18. Live,No,5e4a8236-9a41-412a-aa86-e0894dd3472d,0,190.8
Nothing Crossed,2023-02-23,0014W000037WoIJQA0,17. Closed - On hold by Billing,Yes,8fd0ba97-0962-44f0-8510-14a0ef1974cb,0,0
Riverside Music Boosters,2023-02-23,0014W000037WnskQAC,18. Live,No,872fe173-666c-45df-a803-5980c2084284,0,359.4
Katie's Snack Shack & More LLC,2023-02-23,0014W000037WpE4QAK,17. Closed - On hold by Billing,Yes,afa8553d-9dc9-4992-bd41-146ed4efc23d,0,532.99
La Casita Taqueria,2023-02-23,0014W000037WpEiQAK,16. Closed - Onboarded,No,38a329d1-d59e-4f72-b321-b81e5c53185f,0,408
The Bright Star Dive & Grill,2023-02-23,0014W000037Wp8VQAS,16. Closed - Onboarded,No,8c2eb4dd-4a49-462d-9875-2b7f26df0a56,0,675.6
Warrenville VFW Post 8081,2023-02-23,0014W000037WnW6QAK,18. Live,No,1ba3dbaa-de0b-4873-bc1e-6cd40adfcb54,0,733.6
Cacao Shop,2023-02-23,0014W000037WnRyQAK,18. Live,No,1c5a8004-011f-47dc-9a42-3b299cbde845,0,0
"Jade Earth Events, LLC",2023-02-23,0014W000037WoIiQAK,16. Closed - Onboarded,No,70b8bac0-3062-4a0e-a28c-4d6ea616c056,0,0
The Eatery,2023-02-23,0014W000037WopUQAS,16. Closed - Onboarded,No,b07c3999-0b12-470d-9510-32a013b73e4b,0,0
Raspados Chicali,2023-02-23,0014W000037WnZAQA0,16. Closed - Onboarded,No,afb3e58e-2847-420f-916f-f2c8c453f76b,0,119
Five Thirty-One,2023-02-23,0014W000037WnrXQAS,13. Booked - Need Info to Onboard,No,8f0d2048-27f4-4c78-b139-01c1925611f2,0,0
Origen Bar & Grill,2023-02-23,0014W000037WofPQAS,18. Live,No,f4d38af1-ab91-4e4f-a690-f8907cb8b66e,0,795
Plan B Pupusas y Mas,2023-02-23,0014W000037WomVQAS,13. Booked - Need Info to Onboard,No,e32f190a-0ac0-4e90-811c-2dc36771526a,0,527
Aspiring Youth Enrichment Services,2023-02-23,0014W000037WoK5QAK,16. Closed - Onboarded,No,03fc84b9-3a36-4e40-81c4-d0aaa239dd27,0,190.8
D'moon cafe,2023-02-23,0014W000037WonnQAC,18. Live,No,1a7cf5b0-3b51-45a4-b5ea-deec0cdbcddf,900,527
Jodanni Amore,2023-02-23,0014W000037WobwQAC,16. Closed - Onboarded,No,973d41e3-32a3-4b71-bbff-52214ca8524c,0,789
Gumbo To Geaux,2023-02-23,0014W000037WoIxQAK,18. Live,No,5f116cf4-8fd1-43f4-b61c-33744a157d20,0,190.8
Ajs hillbilly grill,2023-02-23,0014W000037WpIGQA0,16. Closed - Onboarded,No,ea01b4e9-3e70-4218-9fd3-53d4bcdf29ab,0,125.4
Indy Pass Pies,2023-02-23,0014W000037Won9QAC,16. Closed - Onboarded,No,6491d258-a7fa-40a4-84e3-e96e7693ad88,0,120.01
Chick'nCone Turnstyle,2023-02-22,0014W000037WnClQAK,18. Live,No,427a7dbf-c86f-4f8c-9c2d-3ba990a72937,300,299.4
Tea Time,2023-02-22,0014W000037WmJlQAK,18. Live,No,f3e01f1c-d728-45c8-a0ee-818a625ef657,0,0
Nana’s Manna,2023-02-22,0014W000037WmfwQAC,13. Booked - Need Info to Onboard,No,e255e9df-b8cc-4e2a-9e35-c3c0d05c72f7,0,190.8
Antojitos Florsitas,2023-02-22,0014W000037Wm1xQAC,13. Booked - Need Info to Onboard,No,63e98501-9412-4215-878a-61651290c7de,0,0
Aviator LLC,2023-02-22,0014W000037Wm14QAC,18. Live,No,3ea45a17-496d-466b-b7ff-6ba58c8e4ebd,0,458.5
Cheramie Mims,2023-02-22,0014W000037Wn0VQAS,13. Booked - Need Info to Onboard,Yes,04952b4d-93cd-4fbc-bab4-f222fc5916f4,0,190.8
Berkshire creek farm,2023-02-22,0014W000037WmtKQAS,13. Booked - Need Info to Onboard,No,cc4b3797-0849-44d8-b2c5-071b48268472,0,0
Central State Sandwiches,2023-02-22,0014W000037WmhOQAS,16. Closed - Onboarded,No,a278b2ac-4ef1-46bd-9d20-079f86886106,300,299.4
Rooted Kitchen,2023-02-22,0014W000037Wmb6QAC,18. Live,No,7ad605f3-ec14-4b24-ae0d-048caf34f8ef,0,245.41
Grandview Diner,2023-02-22,0014W000037WlDqQAK,18. Live,No,a2de0581-2a44-4a2e-9ccf-d04724bcb95e,0,318
J&M Catering and Events LLC,2023-02-22,0014W000037WlEKQA0,18. Live,No,1b2f16c1-12cc-4341-9be5-c4cf780e66cb,300,349.3
LJ Romans Market,2023-02-22,0014W000037Wn1EQAS,18. Live,No,cce29785-defc-486b-a1e6-217d1fc75086,0,310.81
Top That Pizza,2023-02-22,0014W000037WlzIQAS,18. Live,No,c448d09d-2ace-4fd0-92d2-4f31c01b1e0f,1728,1389
Pachac Peruvian Food,2023-02-22,0014W000037WnFfQAK,13. Booked - Need Info to Onboard,No,dc2178a9-3758-45ba-894a-528b1526f7e4,1500,981
MVP Funnel Cakes,2023-02-22,0014W000037WnIPQA0,16. Closed - Onboarded,No,b9ab642d-d15a-4b34-8b61-7f8f5c9f2d37,0,0
Sky cakes n bake,2023-02-22,0014W000037WnPxQAK,13. Booked - Need Info to Onboard,Yes,9ebf8818-5976-4ddc-8806-f4d0414ada4d,0,0
Whats in Your Cup,2023-02-22,0014W000037WnPYQA0,16. Closed - Onboarded,No,2e05bbeb-aaea-475d-9b2c-dd939b455276,0,286.2
Station Cafe,2023-02-22,0014W000037WnNtQAK,16. Closed - Onboarded,No,58d2e8d5-655b-454e-95f0-52c685ff9294,300,490.2
MJ's Great American Frites & Fries,2023-02-22,0014W000037WmjoQAC,18. Live,No,78e63122-c551-4088-b18f-805f7d9ddad2,0,0
The Woodshed on Park,2023-02-22,0014W000037WmORQA0,16. Closed - Onboarded,No,646f6a76-ebbf-492b-b90b-d350dafc6516,1368,1274.4
The 5000,2023-02-22,0014W000037WmW1QAK,13. Booked - Need Info to Onboard,No,32e24842-6edf-4787-abaa-2ad12daf5c18,0,119.4
Jerzee Dogs,2023-02-22,0014W000037WlDRQA0,16. Closed - Onboarded,No,4a7c4ba5-e4e0-4b7e-821d-64ec1f07d169,0,310.81
Matinee coffee and concessions,2023-02-22,0014W000037WmkhQAC,18. Live,No,42e597a1-ece9-423f-a0bf-57f17c950b99,0,0
It’s A slick world,2023-02-22,0014W000037WmKtQAK,15. Closed - On hold by Onboarding,Yes,a06ef2e2-3dd7-4cfe-a33e-f02f7a88882f,0,0
Sunny Dayz Cafe,2023-02-22,0014W000037WlFcQAK,16. Closed - Onboarded,No,f1355416-7683-4143-8031-14e525867a27,0,0
Nissi Vegan Mexican Cuisine,2023-02-22,0014W000037Wn5zQAC,16. Closed - Onboarded,No,21e51a74-4a29-4177-9bc8-57a87cbd6074,1200,538.81
Bijou Billiards,2023-02-22,0014W000037Wn1xQAC,16. Closed - Onboarded,No,e37fe02e-b843-4c3c-9b1b-c01705b757ca,0,867.01
Bensmokin BBQ LLC,2023-02-22,0014W000037WlCOQA0,18. Live,No,61db9cb6-e611-427b-9a7e-41232e0a91c0,0,316.2
Craw Daddy Boiler,2023-02-22,0014W000037Wn7CQAS,18. Live,No,226d53e9-359e-4661-a31e-753c02fe7532,0,0
ShayShayThaChef L.L.C,2023-02-22,0014W000037WmetQAC,13. Booked - Need Info to Onboard,No,3d939d8d-8fcd-41c2-bbe5-fdad4baa0e64,0,0
HalalXpress LLC,2023-02-22,0014W000037Wmh9QAC,16. Closed - Onboarded,No,a7566f14-7021-421b-a9ec-8caea8081f25,0,119.4
SUGAR MAMAS TREATS LLC,2023-02-22,0014W000037Wn3ZQAS,17. Closed - On hold by Billing,Yes,eb5e0fa7-e9e2-4536-baf2-170d04863878,0,0
The Shack,2023-02-22,0014W000037Wn2bQAC,18. Live,No,a56bd0f5-3ecd-41e2-ae1e-b380d4d0522e,0,119.4
Nonnie’s Baking co,2023-02-21,0014W000037WkcaQAC,18. Live,No,9d57f6e8-244c-42bd-9d63-035554bbf614,0,0
SoulFood Heaven Catering LLC,2023-02-21,0014W000037WkGyQAK,13. Booked - Need Info to Onboard,No,a862b380-9cf9-4174-bcfc-2b2f1f788582,1200,0
Brown wholesale meat of Tampa llc,2023-02-21,0014W000037WkrBQAS,13. Booked - Need Info to Onboard,No,004dc48d-a4ee-4ee2-b71c-ca55949fe4f4,0,0
Maxwell 2 Better LLC.,2023-02-21,0014W000037Wl8CQAS,13. Booked - Need Info to Onboard,No,99a7fd51-e1eb-46d3-a1c8-c889ac2f930c,0,0
Tiny Tea Co.,2023-02-21,0014W000037WjRvQAK,16. Closed - Onboarded,No,dcf1aba9-12d2-4651-bf0a-c1f6fa33ee5e,720,333
La Gitana Cafe and Cigars LLC,2023-02-21,0014W000037WkIuQAK,16. Closed - Onboarded,No,27c7cab0-e561-4ca7-a1ab-6c6031ce70c2,0,0
Caseville Eagles,2023-02-21,0014W000037WkKHQA0,16. Closed - Onboarded,No,8d0bfd71-6cda-4320-adf9-2e14593676ce,0,190.8
Buttercup Bistro,2023-02-21,0014W000037Wjj0QAC,16. Closed - Onboarded,No,24eb1ca0-80e8-4705-8203-071b345f6249,0,0
The Cajun Spot,2023-02-21,0014W000037Wl5NQAS,18. Live,No,47ac71c8-a109-4770-a1eb-e68163ebcdf9,0,146.3
Noi's Kitchen,2023-02-21,0014W000037WjvpQAC,16. Closed - Onboarded,No,9cd1651c-22b6-4605-8046-26a2baeaaa0a,0,120.01
Social Sloth - Okemos,2023-02-21,0014W000037Wl5mQAC,18. Live,No,ce8ea6da-8b62-4fd1-ae17-b2bd70c86b62,0,0
Clutch City Tacos,2023-02-21,0014W00002xfPhPQAU,16. Closed - Onboarded,No,70b0bc36-a419-4149-ae53-eb4ac189cd04,300,499
Red Canyon Lodge,2023-02-21,0014W000037WkRcQAK,18. Live,No,3c950a99-04f2-401e-933a-c02f2cc2ce6b,0,562.5
El Tuque Restaurant,2023-02-21,0014W00002W7fhTQAR,17. Closed - On hold by Billing,Yes,9d998124-efc1-47cf-be6e-bc649686f78c,0,362.58
Rosales Concessions LLC,2023-02-21,0014W000037Wl40QAC,18. Live,No,bc79e05e-9b7d-4e68-a21f-77b9c4c6df23,0,310.81
El Sombrero Mexican Grill,2023-02-21,0014W000037WXUzQAO,18. Live,No,1aa1edce-59c5-4010-b875-85bf706a2d49,0,517.99
TheSweetSpot,2023-02-21,0014W000037WjvVQAS,13. Booked - Need Info to Onboard,No,d6500d63-abeb-4aa8-b038-61ac85e9f183,300,299.4
Jalyn’s Bar & Grill,2023-02-21,0014W000037WjiHQAS,16. Closed - Onboarded,No,596517e5-b714-44b8-af49-4beb87cf40fe,0,0
Chef King,2023-02-21,0014W000037Wjk3QAC,13. Booked - Need Info to Onboard,No,a09a4ab6-8f1d-4639-ad95-4dc87a763fb5,0,0
Taqueria Las Palmas,2023-02-21,0014W000037Wl8qQAC,16. Closed - Onboarded,No,5898f205-037b-4924-b495-52368985a057,0,190.8
La Joya Bar and Grill,2023-02-21,0014W000037Wk7AQAS,18. Live,No,6caa1119-9a66-45d1-9223-e6749b22d638,0,866.4
Na-cho Bizness,2023-02-21,0014W00002mrIFZQA2,18. Live,No,da86d71d-1e70-40b8-abfa-81dab3590947,0,310.81
Sliced LLC,2023-02-21,0014W000037WkM8QAK,16. Closed - Onboarded,No,de33dc26-804c-4a73-8c59-81131976028e,0,119.4
JR PHOTOGRAPHERS,2023-02-21,0014W000037Wk8DQAS,13. Booked - Need Info to Onboard,Yes,0de3b2fc-1b63-4a30-8bc5-336d65ec0789,0,0
Gingers Grub & Pub,2023-02-21,0014W000037Wjp8QAC,13. Booked - Need Info to Onboard,No,6fa2258b-3559-464f-b94a-467dd77592cd,0,927.5
Brown Shuga Bakery,2023-02-21,0014W000037Wk8cQAC,18. Live,No,d6c609c2-5994-4460-a825-127675ea3b7a,0,245.4
Fosters Eatery,2023-02-21,0014W000037WkkjQAC,13. Booked - Need Info to Onboard,No,0d22cf4d-4ed7-42d6-b6a2-917406561930,0,0
Johnnie & Clyde's -new,2023-02-21,0014W000037WkCoQAK,16. Closed - Onboarded,No,28a8c731-2c5b-4a05-8aba-11dc264c67c6,0,0
"The Tipsy Nickel Bar & Grille, LLC",2023-02-21,0014W000037WkGUQA0,18. Live,No,57c6a91d-7d94-48ad-bc46-237e93b83240,900,904.2
Feelmore,2023-02-21,0014W000037WkNzQAK,18. Live,No,c5d88ebc-e6a5-46dc-88c6-b0faca6ecded,0,190.8
DOUGH SHACK,2023-02-21,0014W000037WklDQAS,16. Closed - Onboarded,No,e07e2ee4-3acc-4097-ad68-adb24400da8e,0,604.2
Mo Cafe,2023-02-21,0014W000037WjW2QAK,15. Closed - On hold by Onboarding,Yes,d08751ae-0a96-4929-9d0d-c19362cca081,0,0
Suge and Penny,2023-02-21,0014W000037WjrEQAS,13. Booked - Need Info to Onboard,No,0b22c153-e70d-45e3-b9bb-6c37fe1420e7,0,0
M&L Center,2023-02-21,0014W000037Wl24QAC,13. Booked - Need Info to Onboard,No,9a98b50d-747d-41ab-9915-41343c2249b6,0,119.4
Taqueria 3 Hermanos,2023-02-21,0014W000037WkrLQAS,18. Live,No,01120ee3-9c3b-4906-81a2-337795018be8,600,408.5
EP's Eats LLC,2023-02-21,0014W000037WksOQAS,18. Live,No,37f8b752-cf20-40e5-8b62-7d50e83a64e4,360,190.8
Little Fry Wagon,2023-02-21,0014W000037WjotQAC,16. Closed - Onboarded,No,f0c19dc8-eb17-412e-805a-7f21c341b377,300,817
KenTinaz Kitchen,2023-02-21,0014W000037Wjv1QAC,13. Booked - Need Info to Onboard,No,b59d2c41-2189-4eed-989e-07ac562203c3,0,0
Radio Pizza,2023-02-20,0014W000037WjQxQAK,13. Booked - Need Info to Onboard,No,abda7aba-739d-43c5-b015-7b4ef7388e6e,300,815.4
540 Bistro LLC,2023-02-20,0014W000037Wj06QAC,16. Closed - Onboarded,No,f9e5770a-d1e8-43e4-a372-cb5a9881763f,300,730.2
The Royal Oyster,2023-02-20,0014W000037WiyFQAS,16. Closed - Onboarded,No,829c5f93-dbab-4348-9ff8-8d670db8de85,0,0
Chop it like it’s hott,2023-02-20,0014W000037WjB9QAK,13. Booked - Need Info to Onboard,Yes,9cccf84b-640c-4165-a3fc-fc2a1e4e862d,0,209
Retail Connecing Source INC,2023-02-20,0014W000037WjKQQA0,13. Booked - Need Info to Onboard,Yes,bb2bd27a-0361-4473-a490-ca5e11a8f5a6,0,0
Gramma Lil's,2023-02-20,0014W000037WjNKQA0,16. Closed - Onboarded,No,03f14029-8cdc-4449-88b7-27f97f020e63,0,0
Elisabeth carribean good LLc,2023-02-20,0014W000037WjLxQAK,18. Live,No,46a17bf1-2b88-492b-bdfa-9b213e27712d,0,0
Delish Bestro,2023-02-20,0014W000037WixMQAS,16. Closed - Onboarded,No,1c59df4a-fb41-4a70-8614-c37a9d884982,600,710.6
SapSap,2023-02-20,0014W000037WizXQAS,13. Booked - Need Info to Onboard,Yes,78d12668-f929-4a12-95a2-1b37c337cd89,0,119.4
Rivertide Suites,2023-02-20,0014W000037WjPuQAK,18. Live,No,d19c8625-78b9-4bcc-b368-1067acac530f,0,795
Wikked Ground Coffee,2023-02-20,0014W000037WidLQAS,16. Closed - Onboarded,No,f74770c7-a31c-4dac-b179-3c9281f75a3a,0,0
salmon river unlimited,2023-02-19,0014W000037WiEoQAK,13. Booked - Need Info to Onboard,Yes,518828b4-bd01-4770-95e9-fda7ccfbb2ac,0,0
PV Deli LLC,2023-02-19,0014W000037WiIHQA0,18. Live,No,ab800b35-5ee3-4805-ada5-733edab99fc4,0,318.99
Salmon River Unlimited,2023-02-19,0014W000037WiEeQAK,13. Booked - Need Info to Onboard,No,a2e2ad91-9d6b-4159-8d8b-2a8fc3014d95,0,318
The Cowfee Bean,2023-02-19,0014W000037WibUQAS,18. Live,No,95529835-28ae-4548-abf2-42d3593acb30,0,0
Bagels By Sofia,2023-02-19,0014W000037WiDCQA0,16. Closed - Onboarded,No,83aa51e1-71c7-45d9-9656-b532bff6076c,4128,2225
Mula mafia,2023-02-18,0014W000037Whk4QAC,13. Booked - Need Info to Onboard,Yes,ec6606e3-32a0-4d0b-a0c2-01d32fe71508,0,0
Bay Ridge Bagel Store & Deli Corporation,2023-02-18,0014W000037WhicQAC,16. Closed - Onboarded,No,153dc98e-dbc3-4e55-9b22-9fa52fbb57f3,0,199.99
Fork in the Road,2023-02-18,0014W000037Wi6pQAC,18. Live,No,2d9c64cf-f2e1-46ed-9b9f-450bc29e46fb,0,199.99
Table delice,2023-02-18,0014W000037Whk9QAC,13. Booked - Need Info to Onboard,No,9196819d-c2d2-48f5-a9c9-c17228cfe795,0,0
Some Girl,2023-02-18,0014W000037WhkJQAS,13. Booked - Need Info to Onboard,No,6fd5d161-323a-40aa-9c4f-20bb0dbabc88,0,0
937 ToGo,2023-02-17,0014W000037WhJrQAK,18. Live,No,ba603072-0c5e-4d44-8c73-2e18fa77a585,900,0
Mahogany Ridge Tavern,2023-02-17,0014W000037WhZGQA0,13. Booked - Need Info to Onboard,No,c39c3c7d-1323-4ee8-a842-910703897ad3,0,316.2
Turkey Legs and Things,2023-02-17,0014W000037WgjuQAC,18. Live,No,682f5c58-af92-419f-9936-876cbe55a171,0,190.8
Doce sabor brazilian cafe,2023-02-17,0014W000037WhHWQA0,18. Live,No,e67e839d-b749-48f1-aa65-fdd2440a01ff,300,419.41
The Delish Dish,2023-02-17,0014W000037WhC2QAK,18. Live,No,04791ad4-d754-4587-be58-c54c4063b305,0,0
Pa-Keto's,2023-02-17,0014W000037WhJhQAK,16. Closed - Onboarded,No,a0e76cb6-d04b-41ef-b6f6-cb0cb692180c,0,318
Northbrookfield Farms LLC,2023-02-17,0014W000037WhRHQA0,18. Live,No,53d8a4af-4093-4804-8e28-f50bb2e4b1ee,0,119.4
El Zocalo El Camino,2023-02-17,0014W000037WhbMQAS,18. Live,No,17ff5e8f-0057-4644-bbe0-e6ec833cceb4,1368,1487.5
El Flaco,2023-02-17,0014W000037WhP1QAK,13. Booked - Need Info to Onboard,No,3ef0de6e-de9e-49ed-97fc-15b2ebd16b91,0,0
Good Life Tavern,2023-02-17,0014W000037WhZkQAK,13. Booked - Need Info to Onboard,No,894dd1bc-ca91-435a-a1cb-7f343986a12e,0,190.8
Bite Me!! Burgers,2023-02-17,0014W000037WfxLQAS,13. Booked - Need Info to Onboard,Yes,9faf3396-26b7-4754-a715-f92a23a81ea5,0,527
Payytons,2023-02-17,0014W000037WgcPQAS,18. Live,No,d956e481-479a-4adf-b112-fa2f4e473394,0,368.9
TTP Bakery,2023-02-17,0014W000037WhWCQA0,18. Live,No,535dd196-5083-4f96-872b-a770e8513a71,0,159.2
Afro-Infused llc,2023-02-16,0014W000037WearQAC,13. Booked - Need Info to Onboard,No,bfde4cd4-1ca6-493a-ab17-6a1a6a6653e8,0,0
Flavigny's Lunchbox Dynamite L.L.C,2023-02-16,0014W000037WdmwQAC,16. Closed - Onboarded,No,40e62b7e-3774-4be7-a09d-604036821aff,0,104.5
Wayne king,2023-02-16,0014W000037WepHQAS,18. Live,No,c49f808a-97f1-4094-8ddc-bd6c9fdde770,0,866.4
KoreysKitchen,2023-02-16,0014W000037WejTQAS,16. Closed - Onboarded,No,431bc984-982a-427b-a478-661c2a84226c,0,279.28
Pharr Center Church dba Holy Ground Cafe,2023-02-16,0014W000037WezMQAS,13. Booked - Need Info to Onboard,No,049ce020-0b98-4667-a31a-c17b4b1f6639,0,0
Kantu Brewing,2023-02-16,0014W000037WeqUQAS,13. Booked - Need Info to Onboard,No,e954ea9b-f3b7-4c3b-bf8f-eb3ce1c72c98,0,0
The Back 9 Bistro,2023-02-16,0014W000037WeQJQA0,13. Booked - Need Info to Onboard,Yes,82810239-3417-40e7-ab85-29962837c2bb,0,0
La ventana del sabor,2023-02-16,0014W000037Wec9QAC,16. Closed - Onboarded,No,f5e06a26-6c45-4d3c-8a4c-422b968e7841,1200,711.88
UpDogJax,2023-02-16,0014W000037WeGxQAK,16. Closed - Onboarded,No,ac914967-5b0c-44dd-a251-8e394456ad37,0,362.58
Taqueria El Pocito,2023-02-16,0014W000037WfJqQAK,16. Closed - Onboarded,No,48f657af-7f1b-4d81-be5f-414edf91bcc8,0,508.88
Calypso Cafe & Catering at Countryside,2023-02-16,0014W000037WfUoQAK,18. Live,No,41c8b8c2-0b97-4f51-9ae4-6f03de1580b2,0,286.3
The Hangry Fix Food Truck,2023-02-16,0014W000037WexQQAS,13. Booked - Need Info to Onboard,Yes,74408772-4ba5-465d-8352-c8c6e4ed0593,0,0
La nota zuliana,2023-02-16,0014W000037WfilQAC,18. Live,No,8b37d591-0ac3-4b37-8495-2847386c54c8,900,658.53
The Golden Whisk,2023-02-15,0014W000037Wc6eQAC,18. Live,No,18a0fbed-2b41-4668-9c07-57ff3f2e3fb0,0,414.44
Munch N Run,2023-02-15,0014W000037WcACQA0,16. Closed - Onboarded,No,1945ec12-f4fc-49db-b7dc-8f36503775ba,0,0
Queen City Cheesesteaks,2023-02-15,0014W000037WdL7QAK,18. Live,No,f7524af2-1a43-49a7-8fa2-39a0a7ccf4bc,900,0
Hank’s Landing,2023-02-15,0014W000037WWAdQAO,16. Closed - Onboarded,No,a1608cf6-c3ab-4810-91c7-1bfd679d2c6f,0,190.8
The Truck LLC,2023-02-15,0014W000037WcP2QAK,18. Live,No,93a9cdb7-971f-46b7-be5a-6a5f33611289,300,571.9
Three meat kabob,2023-02-15,0014W000037WdCeQAK,18. Live,No,d1d9c970-ee4c-46db-9638-e5e60784614d,0,651
Collins Retail Services,2023-02-15,0014W000037WcVyQAK,15. Closed - On hold by Onboarding,No,270d229a-2659-4020-8b86-d888d5b40a5e,0,0
